serum,virus,replicate,concentration,fraction infectivity
4154,HK19,1,0.003125,0.895804619
4154,HK19,1,0.0015625,1.007857974
4154,HK19,1,0.00078125,0.988749448
4154,HK19,1,0.000390625,1.000724073
4156,HK19,1,0.05,0.138123039
4156,HK19,1,0.025,0.255970689
4156,HK19,1,0.0125,0.60905258
4156,HK19,1,0.00625,0.858009599
4156,HK19,1,0.003125,0.947019707
4156,HK19,1,0.0015625,1.008051998
4156,HK19,1,0.00078125,1.001636916
4156,HK19,1,0.000390625,0.957613902
4299,HK19,1,0.05,0.07034023
4299,HK19,1,0.025,0.039855447
4299,HK19,1,0.0125,0.065322245
4299,HK19,1,0.00625,0.263691856
4299,HK19,1,0.003125,0.627868586
4299,HK19,1,0.0015625,0.843656587
4299,HK19,1,0.00078125,0.952787085
4299,HK19,1,0.000390625,1.033003021
4350,HK19,1,0.05,0.084321704
4350,HK19,1,0.025,0.086773361
4350,HK19,1,0.0125,0.362245322
4350,HK19,1,0.00625,0.67358615
4350,HK19,1,0.003125,0.912785696
4350,HK19,1,0.0015625,0.982875681
4350,HK19,1,0.00078125,1.030713778
4350,HK19,1,0.000390625,1.036221451
4351,HK19,1,0.05,0.520474418
4351,HK19,1,0.025,0.421435209
4351,HK19,1,0.0125,0.966860707
4351,HK19,1,0.00625,1.083437905
4351,HK19,1,0.003125,1.077402404
4351,HK19,1,0.0015625,1.04196501
4351,HK19,1,0.00078125,1.117423089
4351,HK19,1,0.000390625,1.053725191
4479,HK19,1,0.05,0.109557614
4479,HK19,1,0.025,0.07368095
4479,HK19,1,0.0125,0.415800416
4479,HK19,1,0.00625,0.721356105
4479,HK19,1,0.003125,0.908879537
4479,HK19,1,0.0015625,1.000996408
4479,HK19,1,0.00078125,1.039648695
4479,HK19,1,0.000390625,0.966432342
4480,HK19,1,0.05,0.068305774
4480,HK19,1,0.025,0.12885906
4480,HK19,1,0.0125,0.336507277
4480,HK19,1,0.00625,0.605695812
4480,HK19,1,0.003125,0.892092353
4480,HK19,1,0.0015625,0.950249102
4480,HK19,1,0.00078125,1.033709006
4480,HK19,1,0.000390625,0.997487366
4482,HK19,1,0.05,1.065708597
4482,HK19,1,0.025,0.831388745
4482,HK19,1,0.0125,1.147983368
4482,HK19,1,0.00625,1.123210754
4482,HK19,1,0.003125,1.187797903
4482,HK19,1,0.0015625,1.101332406
4482,HK19,1,0.00078125,1.065641182
4482,HK19,1,0.000390625,1.018096609
4493,HK19,1,0.05,1.338239113
4493,HK19,1,0.025,0.75956634
4493,HK19,1,0.0125,1.182453222
4493,HK19,1,0.00625,1.114447966
4493,HK19,1,0.003125,1.148596805
4493,HK19,1,0.0015625,1.110786699
4493,HK19,1,0.00078125,1.07944969
4493,HK19,1,0.000390625,0.983089128
4500,HK19,1,0.05,0.086615877
4500,HK19,1,0.025,0.047248322
4500,HK19,1,0.0125,0.04952183
4500,HK19,1,0.00625,0.143650169
4500,HK19,1,0.003125,0.400892836
4500,HK19,1,0.0015625,0.679457769
4500,HK19,1,0.00078125,0.86836227
4500,HK19,1,0.000390625,0.855029502
4502,HK19,1,0.05,0.099481509
4502,HK19,1,0.025,0.176945354
4502,HK19,1,0.0125,0.470181463
4502,HK19,1,0.00625,0.705801041
4502,HK19,1,0.003125,0.877701025
4502,HK19,1,0.0015625,0.848659241
4502,HK19,1,0.00078125,0.86628512
4502,HK19,1,0.000390625,0.940302236
4528,HK19,1,0.05,0.208601364
4528,HK19,1,0.025,0.229691877
4528,HK19,1,0.0125,0.969788015
4528,HK19,1,0.00625,1.041837534
4528,HK19,1,0.003125,1.104845252
4528,HK19,1,0.0015625,1.080395902
4528,HK19,1,0.00078125,1.008688866
4528,HK19,1,0.000390625,0.937991757
4529,HK19,1,0.05,0.088982595
4529,HK19,1,0.025,0.139866116
4529,HK19,1,0.0125,0.203400339
4529,HK19,1,0.00625,0.650831682
4529,HK19,1,0.003125,0.823225743
4529,HK19,1,0.0015625,1.035546846
4529,HK19,1,0.00078125,0.994172737
4529,HK19,1,0.000390625,0.966966404
4530,HK19,1,0.05,0.505281728
4530,HK19,1,0.025,0.560508949
4530,HK19,1,0.0125,0.988578105
4530,HK19,1,0.00625,1.178408515
4530,HK19,1,0.003125,1.137638585
4530,HK19,1,0.0015625,1.137895964
4530,HK19,1,0.00078125,1.081165453
4530,HK19,1,0.000390625,1.088297739
4531,HK19,1,0.05,0.477485424
4531,HK19,1,0.025,0.515596069
4531,HK19,1,0.0125,1.217445215
4531,HK19,1,0.00625,1.125650832
4531,HK19,1,0.003125,1.160254677
4531,HK19,1,0.0015625,1.140674224
4531,HK19,1,0.00078125,1.058272633
4531,HK19,1,0.000390625,1.052204321
4532,HK19,1,0.05,0.429853058
4532,HK19,1,0.025,0.614205004
4532,HK19,1,0.0125,1.019338532
4532,HK19,1,0.00625,1.093719762
4532,HK19,1,0.003125,1.152535706
4532,HK19,1,0.0015625,1.11834892
4532,HK19,1,0.00078125,1.063683663
4532,HK19,1,0.000390625,1.09366804
